experiment_id,scenario_id,scenario_label,strategy_id,strategy_label,strategy_group,replication_strategy,capacity_per_rank_per_layer,average_replicas_per_expert,initial_replication_us,migration_network_us,cold_start_storage_us,all2allv_us,total_steady_state_us,total_including_initialization_us,initial_replication_bytes,network_repair_bytes,all2allv_bytes,cold_start_bytes,speedup_vs_control_steady,speedup_vs_control_total_including_init,steady_state_delta_vs_control_us,cold_start_bytes_avoided_vs_control,ft_tax_steady_ratio,ft_tax_total_including_init_ratio,steps,warnings
armageddon_one_node_high_holdout__control_single_owner,armageddon_one_node_high_holdout,Full node high holdout,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,185542587.187200,8567.417514,185551154.604714,185551154.604714,0.000000,0.000000,1885102080.000000,579820584960.000000,1.000000,1.000000,0.000000,0.000000,21316.455595,21316.455595,771,
armageddon_one_node_high_holdout__uniform_fixed_2,armageddon_one_node_high_holdout,Full node high holdout,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,1932735.283200,123695058.124800,7171.933136,125634965.341136,126601332.982736,1352914698240.000000,773094113280.000000,1760317440.000000,386547056640.000000,1.476907,1.465633,-59916189.263578,193273528320.000000,17157.165088,130.022186,771,
armageddon_one_node_high_holdout__adaptive_mro_avg3,armageddon_one_node_high_holdout,Full node high holdout,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,2944466.857579,184415158.272000,11992.268800,187371617.398379,190088003.182257,2153691217920.000000,1120382484480.000000,1748561920.000000,576297369600.000000,0.990284,0.976133,1820462.793665,3523215360.000000,15630.507160,69.670818,792,
armageddon_one_node_high_holdout__adaptive_mro_avg4,armageddon_one_node_high_holdout,Full node high holdout,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,6320188.571573,186831077.376000,1171.371281,193152437.318854,196641299.934093,2892811468800.000000,1645844889600.000000,1552261120.000000,583847116800.000000,0.960646,0.943602,7601282.714140,-4026531840.000000,157249.145274,56.342744,793,
armageddon_one_node_high_holdout__adaptive_mro_avg6,armageddon_one_node_high_holdout,Full node high holdout,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,10156926.566400,157517925.580800,842.345651,167675694.492851,173046081.334451,4352429260800.000000,2730491904000.000000,1534279680.000000,492243517440.000000,1.106607,1.072264,-17875460.111863,87577067520.000000,195744.675312,32.217136,847,
armageddon_one_node_high_holdout__adaptive_mro_avg8,armageddon_one_node_high_holdout,Full node high holdout,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,13312720.896000,138593225.932800,817.032533,151906763.861333,159119289.019733,5798205849600.000000,3773615308800.000000,1527490560.000000,433103831040.000000,1.221481,1.166114,-33644390.743381,146716753920.000000,190138.324688,22.059079,922,
armageddon_rotating_single_node__control_single_owner,armageddon_rotating_single_node,Full node rotating,control_single_owner,Single-owner control,control,control_single_owner,8,1.000000,0.000000,0.000000,371085174.374400,5936.130602,371091110.505002,371091110.505002,0.000000,0.000000,1885102080.000000,1159641169920.000000,1.000000,1.000000,0.000000,0.000000,42631.624662,42631.624662,803,
armageddon_rotating_single_node__uniform_fixed_2,armageddon_rotating_single_node,Full node rotating,uniform_fixed_2,Uniform fixed 2,uniform,uniform,16,2.000000,966367.641600,5798205.849600,371085174.374400,5462.836279,376888843.060279,377855210.701879,1352914698240.000000,1159641169920.000000,1760317440.000000,1159641169920.000000,0.984617,0.982099,5797732.555277,0.000000,51469.303014,388.065112,836,
armageddon_rotating_single_node__adaptive_mro_avg3,armageddon_rotating_single_node,Full node rotating,adaptive_mro_avg3,Adaptive MRO avg 3,adaptive_mro,adaptive,24,3.000000,2716385.783878,6493489.522874,309237645.312000,12006.042738,315743140.877612,318459526.661490,2153691217920.000000,2340924948480.000000,1748561920.000000,966367641600.000000,1.175294,1.165269,-55347969.627390,193273528320.000000,26339.236927,116.721389,886,
armageddon_rotating_single_node__adaptive_mro_avg4,armageddon_rotating_single_node,Full node rotating,adaptive_mro_avg4,Adaptive MRO avg 4,adaptive_mro,adaptive,32,4.000000,3488862.615239,10521963.119864,196172631.244800,1239.585908,206695833.950571,210184696.565810,2892811468800.000000,3666157240320.000000,1552261120.000000,613039472640.000000,1.795349,1.765548,-164395276.554431,546601697280.000000,168275.087137,60.223272,1042,
armageddon_rotating_single_node__adaptive_mro_avg6,armageddon_rotating_single_node,Full node rotating,adaptive_mro_avg6,Adaptive MRO avg 6,adaptive_mro,adaptive,48,6.000000,5370386.841600,16181624.832000,167745316.454400,954.179464,183927895.465864,189298282.307464,4352429260800.000000,5825888256000.000000,1534279680.000000,524204113920.000000,2.017590,1.960351,-187163215.039138,635437056000.000000,214717.501470,35.242916,1099,
armageddon_rotating_single_node__adaptive_mro_avg8,armageddon_rotating_single_node,Full node rotating,adaptive_mro_avg8,Adaptive MRO avg 8,adaptive_mro,adaptive,64,8.000000,7212525.158400,21305386.598400,148659555.532800,965.383094,169965907.514294,177178432.672694,5798205849600.000000,7896783912960.000000,1527490560.000000,464561111040.000000,2.183327,2.094449,-201125202.990708,695080058880.000000,212742.553967,24.562661,1099,
